"boardid","title","content","date","writer","ctgry","views"
6,예약하자,예약하고 싶어요,"2021-07-27",test1,예약,9
7,결제문의,결제시켜줘,"2021-07-27",test3,결제,22
8,화면이 안 떠요,사이트 구림,"2021-07-27",test7,사이트,11
9,취소해주세요,위약금이 얼마죠?,"2021-07-28",test6,예약,2
10,잔여 숙박일이 남은 손님이 변심할 때 잔여일 대금 상관은 어떻게?,"안녕하세요. 에어비앤비 숙소를 처음 등록하게되었습니다. 관련 내용을 다
		입력하고 숙소등록하기를 하였는데, 미리보기에서 예약날짜를 설정하면 ""달력 설정이 진행되고 있습니다. 몇 시간 후에 다시
		확인하세요."" 위와같은 메시지가 뜨면서 게스트분들이 예약을 할수 없는것 같더라고요.동시에 지도에서 저희 숙소가 노출이 안되고
		있는걸 확인했습니다. 어떤 설정을 잘못한건지, 아니면 아직 신규등록이라 시간이 걸리는지 궁금합니다! 혹시 아시는분이나
		담당자분이 보시게 되셔서, 말씀해주시면 감사하겠습니다!감사합니다!","2021-09-19",test4,환불,1004
12,너무나도 더워서 에어컨을 켰는데 켜도 더워요,"푹푹찌는 무더위가 계속 되고 있는요즘.에어컨 없이 지낸다는 건 상상하기도 힘든데요~
오늘은 에어컨의 원리에 대해 아주 쉽고 간단하게 설명드려볼까 합니다.
알콜을 피부에 대면 시원해지는 경험을 해보신 적 있으신가요?
고체에서 액체, 또 액체에서 기체로 상태가 변할 때 열을 흡수하여 주위의 온도를 낮추게 되는데,
에어컨은 이 원리를 이용하여 주변의 공기를 시원하게 한답니다.
에어컨의 구조는 크게 “압축기”, “응축기”, “팽창밸브”, “증발기” 로 나뉘어지는데요.
기체는 압축기를 통과하면서 압력이 올라가고, 주변에 열을 발생시키면서 액체 상태가 됩니다.
또 액체 상태의 냉매는 팽창 밸브를 통해 수분을 빼앗기고, 증발기에서 기체화 되면서 주변의 열을 빼앗아 시원한 바람을 보내게 됩니다.","2021-07-28",test7,계정,1
13,한국인들이 남긴 은밀한 에어비앤비 후기 ,"에어비앤비 이용후기에 불만사항을 적을 경우 숙소 주인이 곧바로 답글을 작성해 항의하는 경우가 종종 있다. 또한 ‘경험 이외의 내용’ ‘예약건과 관련이 없는 경우’ ‘비속어 사용’ ‘강요 목적으로 이용된 것이 입증된 내용’ 등 에어비앤비의 콘텐츠 작성 지침을 위반할 경우 삭제당할 수 있다.
이에 에어비앤비 한국인 이용자들은 숙소 주인이 번역기를 사용해도 알아보지 못하게 하려고 한국인들만 알 수 있는 이상한(?) 한글로 후기를 작성한 것이다. 이들은 “한국인들만 알아볼 수 있게 작성하겠다”며 자음에 된소리를 이용하거나 모음을 다르게 쓰는 등 기발한 방법으로 숙소에 대한 신랄한 비판을 가했다.","2021-07-28",test2,기타,2
15,세팅이 어떻게 돼있어요?,"16이 잡혔잖아. 거기 한 번 가보실래요? 1.8로 잡혔는지 보실래요? 지금 16이라 안 된다고 하셨잖아요? 
이클립스에 자바 밑에 jre 밑에 1.8 잡혀있는지 확인해 보셔야 할 것 같아요.","2021-07-28",test9,숙소,5
16,나님 두꺼비 찾았나껍~!,소비자의 부주의로 훼손된 제품은 보상의 책임을 지지 않습니다. 지정된 용도 외에는 다른 용도로 사용하지 마십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오. 본 제품에 이상이 있을 경우 공정거래위원회 고시 '소비자 분쟁해결기준'에 의거 교환 또는 보상받을 수 있습니다.,"2021-07-28",test9,사이트,2
18,제목입니다,너무 힘들어요 끈적끈적 끈적끈적 끈적해요,"2021-07-28",test2,숙소,5
19,FZ-056,"이 책의 한국어판 저작권은 일본 스퀘어 에닉스와의 독점계약으로 (주)학산문화사에 있습니다. 저작권법에 의해 한국 내에서 보호를 받는 저작물이므로 불법 복제와 스캔 등을 이용한 무단 전제 및 유포, 공유시 법적 제재를 받게 됨을 알려 드립니다.","2021-07-29",test4,계정,2
20,크로스 오버,"미인인데다 터프하고, 잘 나가는 젊은 엄마를 둔 덕분에 고민이 많은 향기!
피 한 방울 안 섞인 동갑 동생 율이가 세상 무엇보다 소중한 향기!
돈에 약하고 정에 약하고...
하지만 불의를 보면 참지 못하는 단순녀 향기! 잘 해 봐!
네가 바로 주인공이니까!!","2021-07-29",test8,계정,6
21,개발자의 대화법,너 뭐니? 왜 안 되는거니? 대화를 시도해 보시면 대화를 하다 보면 어느 순간 풀리거든요 ㅎㅎ 아셨죠? 얘랑 대화를 시도해 봐.. 너 왜 내가 입력값 줬는데 왜 null이라고 하니.. 이렇게 얘기를 하다 보면 어디서 막혔는지 해결이 돼요.. 우리는 대화를 시도해요 자바랑.. 브라우저랑 디비랑….,"2021-07-29",test10,사이트,29
22,줄바꿈 잘 되는지 테스트,"안녕하세요.
글을 작성했는데,

저는 줄을 바꿔서 썼는데
출력할 땐 그대로 이어서 나오네요.

이번에 안 되면
너무 슬플 것 같아요.

수정은 잘 될까요?
리다이렉트도 잘 될까요?","2021-07-29",test11,기타,2
23,리다이렉트 연습입니다,글을 작성하면 내가 작성한 최신 글이 떠야 할텐데 말이죠.,"2021-07-29",test9,숙소,3
24,글 작성 후 리다이렉트 다시 테스트,제발 이 화면이 떠라,"2021-07-29",test8,예약,1
25,제발 좀 돼라,"뭐가 문제니
","2021-07-29",test7,기타,4
26,"3번째 테스트",아 제발!!!!!!!!!,"2021-07-29",test6,기타,7
32,구입 제품에 따라,"구입 제품에 따라 충전기가 별매품인 경우가 있습니다.
무선 충전 커버는 별매품입니다.
모바일 기기의 충전부 위치에 따라 충전이 되지 않을 수 있습니다.
충전 중에는 충전기가 콘센트 가까이에 있어야 하며, 손이 쉽게 닿는 곳에 두어야 합니다.","2021-07-30",test5,결제,10
33,가방의 목적,"가방에 넣었어. 이 가방을 어떻게 하셔야 돼요? 컨테이너에 넣으셔야 해요
","2021-07-30",test5,숙소,7
35,맥에서 txt 쓰는법은 너무 맥맥해,i love apple,"2021-07-30",test3,환불,8
37,회원은 한거 없는데,"회원은 암것도 안했는데 게시판은 벌써 이렇게....
멍 나는 무엇인가....
멍멍 나는 강아지인가....","2021-07-30",test1,기타,9
59,베어비앤비 호스팅의 기본,"일부 호스트에게 에어비앤비 호스팅은 노후 자금을 마련하는 수입원이 됩니다. 또는 꿈을 실현하는 데 필요한 자금을 마련하기 위해 호스팅하시는 분들도 계십니다. 런던의 호스트 테사님은 “몰리예술대학에서 3년 동안 섬유에 대해 배울 수 있었다""라며 “호스팅 수입으로 여행을 하고 주방도 리모델링할 수 있었다”라고 말합니다. 에어비앤비에서 호스팅하는 것은 부수입을 올릴 수 있는 좋은 방법입니다. 숙소 등록부터 대금 수령까지 호스팅을 시작하는 방법을 알아보세요.

그렇다면 에어비앤비 호스트가 되기 위한 자격 조건은 무엇인가요? 먼저 게스트와 공유할 수 있는 숙소 공간이 있어야 합니다. 공유하는 공간이 집 전체이든, 여분의 방이든, 아니면 편안한 소파 침대이든, 이러한 숙소를 원하는 게스트가 있기 마련입니다. 핵심은 솔직하고 정확하게 숙소를 설명함으로써 게스트가 적절한 기대치를 갖도록 만드는 데 있습니다. 또한 게스트를 따뜻하게 맞이할 의향이 있어야 합니다. 이는 일반적으로 다음과 같은 의미입니다.

1. 신속하고 명확하게 의사소통하세요.
2. 편안한 숙박에 필요한 기본 편의시설을 갖춘 깨끗한 공간을 제공하세요.
3. 숙소를 특별하게 만들 수 있는 세심한 배려를 더해보세요.

","2021-08-02",test2,호스팅,5
60,베어비앤비 호스팅의 장점,"담보대출 상환부터 집수리 비용이나 휴가비 마련에 이르기까지, 수입을 창출하려는 이유가 무엇이든, 에어비앤비 호스팅은 원하는 수입 목표를 달성할 수 있는 특별한 방법입니다. 하지만 내 집을 게스트와 공유하는 것은 단순한 수입 창출 이상의 의미를 가집니다. 많은 호스트가 에어비앤비를 통해 전문 뮤지션, 드론 제작자, 서커스 공연자 등 호스팅이 아니라면 만날 수 없었을 다양한 사람들과 현지 문화를 공유하고 소통할 수 있었다고 말합니다.","2021-08-02",test3,호스팅,6
